Site_ID,y.1,y.2,y.3,y.4,year
54,NA,NA,NA,NA,2021
55,NA,NA,NA,NA,2021
56,NA,NA,NA,NA,2021
57,NA,NA,NA,NA,2021
58,14,0,NA,NA,2021
59,NA,NA,NA,NA,2021
60,NA,NA,NA,NA,2021
61,3,21,NA,NA,2021
62,NA,NA,NA,NA,2021
63,NA,NA,NA,NA,2021
64,2,4,NA,NA,2021
65,2,4,NA,NA,2021
66,NA,NA,NA,NA,2021
67,NA,NA,NA,NA,2021
68,NA,NA,NA,NA,2021
69,NA,NA,NA,NA,2021
70,NA,NA,NA,NA,2021
71,NA,NA,NA,NA,2021
72,NA,NA,NA,NA,2021
73,NA,NA,NA,NA,2021
74,NA,NA,NA,NA,2021
75,NA,NA,NA,NA,2021
76,NA,NA,NA,NA,2021
77,2,1,NA,NA,2021
78,NA,NA,NA,NA,2021
79,NA,NA,NA,NA,2021
80,NA,NA,NA,NA,2021
81,3,5,NA,NA,2021
82,NA,NA,NA,NA,2021
83,NA,NA,NA,NA,2021
84,2,7,NA,NA,2021
85,NA,NA,NA,NA,2021
86,2,7,NA,NA,2021
87,NA,NA,NA,NA,2021
88,1,3,NA,NA,2021
89,NA,NA,NA,NA,2021
90,NA,NA,NA,NA,2021
91,10,5,NA,NA,2021
92,NA,NA,NA,NA,2021
93,2,7,NA,NA,2021
94,NA,NA,NA,NA,2021
95,NA,NA,NA,NA,2021
96,1,3,NA,NA,2021
97,NA,NA,NA,NA,2021
98,0,2,NA,NA,2021
99,NA,NA,NA,NA,2021
100,0,3,NA,NA,2021
101,NA,NA,NA,NA,2021
102,9,1,NA,NA,2021
103,NA,NA,NA,NA,2021
104,3,0,NA,NA,2021
105,NA,NA,NA,NA,2021
106,2,11,NA,NA,2021
107,NA,NA,NA,NA,2021
108,7,3,NA,NA,2021
109,NA,NA,NA,NA,2021
110,1,8,NA,NA,2021
111,NA,NA,NA,NA,2021
112,3,9,NA,NA,2021
113,NA,NA,NA,NA,2021
114,NA,NA,NA,NA,2021
115,NA,NA,NA,NA,2021
116,NA,NA,NA,NA,2021
117,NA,NA,NA,NA,2021
118,NA,NA,NA,NA,2021
119,NA,NA,NA,NA,2021
120,NA,NA,NA,NA,2021
121,NA,NA,NA,NA,2021
122,NA,NA,NA,NA,2021
123,NA,NA,NA,NA,2021
124,6,0,NA,NA,2021
125,1,3,NA,NA,2021
126,NA,NA,NA,NA,2021
127,2,7,NA,NA,2021
128,NA,NA,NA,NA,2021
129,6,0,NA,NA,2021
130,NA,NA,NA,NA,2021
131,2,7,NA,NA,2021
132,NA,NA,NA,NA,2021
133,NA,NA,NA,NA,2021
134,NA,NA,NA,NA,2021
135,1,10,NA,NA,2021
136,3,24,NA,NA,2021
137,NA,NA,NA,NA,2021
138,NA,NA,NA,NA,2021
139,NA,NA,NA,NA,2021
140,NA,NA,NA,NA,2021
141,8,0,NA,NA,2021
142,NA,NA,NA,NA,2021
143,8,0,NA,NA,2021
144,5,1,NA,NA,2021
145,NA,NA,NA,NA,2021
146,NA,NA,NA,NA,2021
147,NA,NA,NA,NA,2021
148,5,1,NA,NA,2021
149,NA,NA,NA,NA,2021
150,NA,NA,NA,NA,2021
151,2,9,NA,NA,2021
152,NA,NA,NA,NA,2021
153,NA,NA,NA,NA,2021
154,NA,NA,NA,NA,2021
155,4,6,NA,NA,2021
156,NA,NA,NA,NA,2021
157,NA,NA,NA,NA,2021
158,NA,NA,NA,NA,2021
159,2,1,NA,NA,2021
160,NA,NA,NA,NA,2021
161,NA,NA,NA,NA,2021
162,2,1,NA,NA,2021
163,NA,NA,NA,NA,2021
164,NA,NA,NA,NA,2021
165,NA,NA,NA,NA,2021
166,NA,NA,NA,NA,2021
167,NA,NA,NA,NA,2021
168,NA,NA,NA,NA,2021
169,3,6,NA,NA,2021
170,NA,NA,NA,NA,2021
171,3,0,NA,NA,2021
